Month,Brooklyn,Manhattan,NYC,Queens
2005-01-01,631923,833925,579666,511699
2005-02-01,671305,835381,580212,504926
2005-03-01,729839,844251,586093,500628
2005-04-01,723271,851425,591368,510995
2005-05-01,707118,867504,599972,520308
2005-06-01,722080,886951,612023,520837
2005-07-01,723188,902724,621370,528954
2005-08-01,726324,916581,629023,536163
2005-09-01,732443,930565,636565,539988
2005-10-01,724798,939067,641281,545817
2005-11-01,726577,948000,648417,552495
2005-12-01,727509,947052,648311,552697
2006-01-01,721734,948087,649351,558706
2006-02-01,732425,948941,652601,563651
2006-03-01,735876,946970,651277,563300
2006-04-01,738811,950294,653760,564013
2006-05-01,751196,952419,657493,567215
2006-06-01,756612,958744,660567,570316
2006-07-01,766819,966412,668118,576959
2006-08-01,770588,969736,672892,583325
2006-09-01,777664,975544,677731,585315
2006-10-01,772316,976308,678408,588478
2006-11-01,777784,978741,681492,590702
2006-12-01,785012,975674,682374,590916
2007-01-01,788858,970923,679946,589637
2007-02-01,782574,962246,673288,587326
2007-03-01,774901,952814,666778,583203
2007-04-01,772856,968808,667954,578311
2007-05-01,766516,980832,667417,571849
2007-06-01,762127,995292,669193,571736
2007-07-01,757015,1002765,669448,570679
2007-08-01,758323,1011819,669762,567277
2007-09-01,757083,1017407,670048,563373
2007-10-01,751431,1024262,669936,563922
2007-11-01,756758,1033242,671319,558057
2007-12-01,754809,1033584,670654,554651
2008-01-01,751528,1030329,665338,547267
2008-02-01,742661,1034225,662885,545104
2008-03-01,742779,1035555,659156,539659
2008-04-01,729579,1030781,652896,534303
2008-05-01,726200,1037033,652835,532648
2008-06-01,719177,1041561,651836,530317
2008-07-01,715279,1043720,650415,527423
2008-08-01,712356,1040733,647000,520468
2008-09-01,710852,1036392,644516,519279
2008-10-01,710415,1032824,641781,517634
2008-11-01,700325,1024366,634594,514352
2008-12-01,686340,1011583,625682,509390
2009-01-01,670287,998940,615788,502805
2009-02-01,658855,983307,605612,494896
2009-03-01,655868,973274,599435,488964
2009-04-01,646826,946913,589163,484056
2009-05-01,648434,937181,585933,484159
2009-06-01,637072,923462,577359,477622
2009-07-01,637959,914023,572461,470890
2009-08-01,634305,904712,567727,467113
2009-09-01,627954,904080,564617,463559
2009-10-01,622894,900529,561684,461559
2009-11-01,615290,893164,558676,458348
2009-12-01,607862,889885,556304,458600
2010-01-01,608419,890196,554851,456019
2010-02-01,609435,890266,552267,450901
2010-03-01,601200,887604,549797,450300
2010-04-01,599600,888744,549026,448597
2010-05-01,601036,890649,549284,450115
2010-06-01,603002,894913,550437,450700
2010-07-01,596658,896662,546527,447552
2010-08-01,591900,899908,544840,446212
2010-09-01,589179,903331,543880,444991
2010-10-01,588851,900266,541487,441941
2010-11-01,584362,900773,539399,439548
2010-12-01,575796,898729,536167,437384
2011-01-01,574292,900960,536282,439181
2011-02-01,577399,896391,535154,435336
2011-03-01,580016,891207,535318,436457
2011-04-01,578295,893497,534082,434072
2011-05-01,572324,896855,533536,437023
2011-06-01,573931,896241,533484,437669
2011-07-01,577415,898692,534557,438261
2011-08-01,576624,897605,533108,434904
2011-09-01,570261,903310,532125,432803
2011-10-01,563884,903787,528972,426195
2011-11-01,570167,895077,528115,426115
2011-12-01,567862,902019,528931,427573
2012-01-01,570021,902308,527452,424834
2012-02-01,569683,899554,526406,424834
2012-03-01,568599,902522,526270,425250
2012-04-01,569452,893770,524700,425198
2012-05-01,567326,901137,525071,424178
2012-06-01,568777,906339,526195,421781
2012-07-01,560921,915894,524651,417286
2012-08-01,560928,922297,524698,413521
2012-09-01,559028,924002,526230,415987
2012-10-01,565094,922729,526564,414380
2012-11-01,562695,924667,526132,414533
2012-12-01,561711,931637,527736,416540
2013-01-01,562896,930469,526971,415045
2013-02-01,562135,931611,526054,415693
2013-03-01,559126,938039,525070,411885
2013-04-01,569210,944871,529757,413988
2013-05-01,579133,951694,533620,413482
2013-06-01,579604,959466,534938,411309
2013-07-01,586335,972956,539864,413095
2013-08-01,588742,980718,542220,415409
2013-09-01,593782,988014,544154,416119
2013-10-01,593167,995607,546286,417420
2013-11-01,589846,1007944,546267,419430
2013-12-01,587639,1014358,545530,418727
2014-01-01,598402,1019468,550914,423732
2014-02-01,600434,1029275,553378,423801
2014-03-01,600191,1034842,553770,425364
2014-04-01,606589,1039757,555383,424097
2014-05-01,613540,1046225,561374,426535
2014-06-01,619998,1056231,563892,427467
2014-07-01,627042,1065332,569472,430502
2014-08-01,634877,1070959,571420,429657
2014-09-01,634138,1072636,570627,428089
2014-10-01,636386,1076786,573019,430754
2014-11-01,640923,1082286,573676,430527
2014-12-01,639912,1084124,574265,433119
2015-01-01,646469,1092132,577395,434206
2015-02-01,658360,1090280,580533,436040
2015-03-01,659980,1091286,580236,433447
2015-04-01,657028,1091789,580032,432914
2015-05-01,664593,1102431,584212,435287
2015-06-01,665632,1108653,585817,438152
2015-07-01,669044,1117705,592378,444523
2015-08-01,673940,1126703,596201,447005
2015-09-01,680666,1131015,599775,451333
2015-10-01,677035,1131660,599759,454579
2015-11-01,685746,1145165,602751,456167
2015-12-01,694377,1148746,604696,456070
2016-01-01,687318,1152921,604000,453250
2016-02-01,680405,1149842,603056,456813
2016-03-01,689320,1141285,602055,455393
2016-04-01,687474,1140263,600457,456890
2016-05-01,690816,1142498,601465,458803
2016-06-01,691282,1146550,600606,457992
2016-07-01,696084,1149767,603517,458109
2016-08-01,692547,1148034,602648,457583
2016-09-01,690897,1147468,602308,459267
2016-10-01,684059,1146519,602310,464331
2016-11-01,687231,1149107,602725,464158
2016-12-01,692699,1148168,604854,466487
2017-01-01,692694,1157781,608687,471219
2017-02-01,693028,1148741,607214,470404
2017-03-01,704469,1144989,609466,468769
2017-04-01,704592,1152353,612971,469772
2017-05-01,708864,1155573,614841,472035
2017-06-01,710663,1161602,616167,474730
2017-07-01,713065,1161126,617418,477164
2017-08-01,706285,1161159,618384,480537
2017-09-01,701872,1162391,621815,488140
2017-10-01,699573,1167274,621049,486045
2017-11-01,692849,1168351,620946,490968
2017-12-01,689126,1163195,620397,491611
2018-01-01,703719,1166366,625598,496321
2018-02-01,700959,1158658,624605,499978
2018-03-01,706492,1159893,626481,500312
2018-04-01,703038,1162708,627070,502660
2018-05-01,700448,1158386,626994,505986
2018-06-01,702266,1155336,627148,506419
2018-07-01,710677,1153469,628485,508491
2018-08-01,705166,1153932,630475,509668
2018-09-01,699026,1143231,629347,510927
